label,gap,atom1,atom2,s2_x,p1_x,p2_x,s1_y,s2_y,p1_y,p2_y,d1_y,d2_y,nbr
Mg_O,0.067551,Mg,O,2.9867019999999997,1.2235269999999998,3.179032,3.6090619999999998,5.166651,4.10997,4.804211,5.87823,5.878235,4
Mg_S,0.094081,Mg,S,2.9867019999999997,1.2235269999999998,3.179032,3.5600039999999997,4.582699,3.887654,4.3644039999999995,4.567701,4.567701,4
Mg_Se,0.065645,Mg,Se,2.9867019999999997,1.2235269999999998,3.179032,3.5311199999999996,5.380682,3.8738609999999998,4.358124,4.4367909999999995,4.4367909999999995,4
Mg_Te,0.060885,Mg,Te,2.9867019999999997,1.2235269999999998,3.179032,3.514518,4.522636,3.804858,4.184911,4.2819,4.281902,4
Na_Br,0.125877,Na,Br,2.124184,1.046237,2.24027,1.9507,3.015439,2.37749,2.909926,3.1656950000000004,3.165696,4
Na_Cl,0.139815,Na,Cl,2.124184,1.046237,2.24027,1.963511,3.7151750000000003,2.384825,2.947087,3.112882,3.112886,4
Na_F,0.143168,Na,F,2.124184,1.046237,2.24027,1.797617,3.854537,2.46641,3.238983,4.492271000000001,4.492290000000001,4
Na_I,0.112526,Na,I,2.124184,1.046237,2.24027,2.008711,5.588515,2.36178,2.7933320000000004,2.850562,2.850565,4
Rb_Br,0.148379,Rb,Br,1.170768,0.591516,1.262311,0.9597870000000001,2.0245260000000003,1.386577,1.919013,2.174782,2.174783,4
Rb_Cl,0.158612,Rb,Cl,1.170768,0.591516,1.262311,0.9725980000000001,2.724262,1.393912,1.9561739999999999,2.121969,2.121973,4
Rb_F,0.181525,Rb,F,1.170768,0.591516,1.262311,0.8067040000000001,2.863624,1.475497,2.2480700000000002,3.501358,3.501377,4
Rb_I,0.128404,Rb,I,1.170768,0.591516,1.262311,1.017798,4.597602,1.370867,1.802419,1.859649,1.859652,4
Sr_O,0.125574,Sr,O,1.549414,0.678491,1.687498,2.0383519999999997,3.595941,2.53926,3.233501,4.30752,4.307525,4
Sr_S,0.125017,Sr,S,1.549414,0.678491,1.687498,1.9892940000000001,3.011989,2.316944,2.793694,2.996991,2.996991,4
Sr_Se,0.109472,Sr,Se,1.549414,0.678491,1.687498,1.96041,3.809972,2.3031509999999997,2.787414,2.866081,2.866081,4
Sr_Te,0.107467,Sr,Te,1.549414,0.678491,1.687498,1.943808,2.9519260000000003,2.234148,2.614201,2.71119,2.711192,4
