"mol","anion","cation","energy_occ_s","energy_unocc_s","splitting_s","diff_s","delta_s","deltar_s","energy_occ_p","energy_unocc_p","splitting_p","diff_p","delta_p","deltar_p"
"Cd_Te","Te","Cd",-0.249623,0.134118,0.383741,0.527825,-0.144084,-0.272976838914413,0.139651,0.273766,0.134115,0.579852,-0.445737,-0.768708222098053
"Cs_Br","Br","Cs",-0.48803,0.094711,0.582741,0.745899,-0.163158,-0.218740070706624,-0.059318,0.322386,0.381704,0.111745,0.269959,2.41584858382925
"Cs_Cl","Cl","Cs",-0.481306,0.104898,0.586204,0.75871,-0.172506,-0.227367505370959,-0.057855,0.37172,0.429575,0.11908,0.310495,2.60744877393349
"Cs_F","F","Cs",-0.651289,0.171735,0.823024,0.592816,0.230208,0.388329599740898,-0.026177,1.051549,1.077726,0.200665,0.877061,4.37077218249321
"Cs_I","I","Cs",-0.40806,0.082667,0.490727,0.80391,-0.313183,-0.389574703635979,-0.052313,0.260935,0.313248,0.096035,0.217213,2.26181079814651
"Cu_Br","Br","Cu",-0.414938,0.158267,0.573205,0.000638000000000027,0.572567,897.440438871435,0.006457,0.374422,0.367965,0.235234,0.132731,0.564250916109066
"Cu_Cl","Cl","Cu",-0.422799,0.174124,0.596923,0.013449,0.583474,43.384192133244,0.002134,0.410633,0.408499,0.242569,0.16593,0.684052784980768
"Cu_F","F","Cu",0.038284,0.028547,-0.009737,0.152445,-0.162182,-1.06387221620912,-0.102535,0.553902,0.656437,0.324154,0.332283,1.02507758657922
"Ga_As","As","Ga",0.174951,0.634324,0.459373,2.194293,-1.73492,-0.790651020624866,0.18426,0.186668,0.00240799999999999,2.147011,-2.144603,-0.998878440771845
"Ga_N","N","Ga",-0.310354,0.32905,0.639404,2.349172,-1.709768,-0.72781729051768,0.311492,0.588339,0.276847,2.391743,-2.114896,-0.88424885115165
"Ga_P","P","Ga",-0.248438,0.258972,0.50741,2.251725,-1.744315,-0.774657207252218,0.213532,0.325148,0.111616,2.177834,-2.066218,-0.948749078212573
"Ga_Sb","Sb","Ga",0.153299,0.437162,0.283863,2.142989,-1.859126,-0.867538750782202,0.165702,0.173507,0.00780500000000001,2.054651,-2.046846,-0.996201301340228
"Hg_O","O","Hg",0.063563,0.915619,0.852056,0.622369,0.229687,0.369052764517513,0.136413,0.102593,-0.03382,0.816638,-0.850458,-1.0414136986033
"Hg_S","S","Hg",0.112511,0.553789,0.441278,0.573311,-0.132033,-0.230299087231886,0.159268,0.123079,-0.036189,0.594322,-0.630511,-1.06089123404484
"Hg_Se","Se","Hg",0.081263,0.515712,0.434449,0.544427,-0.109978,-0.202006880628624,0.146464,0.111678,-0.034786,0.580529,-0.615315,-1.05992120979314
"Hg_Te","Te","Hg",0.102744,0.442935,0.340191,0.527825,-0.187634,-0.355485246056932,0.153422,0.122786,-0.030636,0.511526,-0.542162,-1.05989138382018
