mol,anion,cation,energy_occ_s,energy_unocc_s,splitting_s,diff_s,delta_s,deltar_s,energy_occ_p,energy_unocc_p,splitting_p,diff_p,delta_p,deltar_p,gap
B_N,N,B,-0.345439,4.42866,4.774099,2.402724,2.371375,0.986952725,0.258894,0.540074,0.28118,2.554455,-2.273275,-0.88992564,4.169766
B_P,P,B,-0.245823,0.620665,0.866488,2.305277,-1.438789,-0.624128467,0.336911,0.442944,0.106033,2.340546,-2.234513,-0.954697323,0.283754
B_Sb,Sb,B,-0.236645,0.389888,0.626533,2.196541,-1.570008,-0.714763804,0.273054,0.358899,0.085845,2.217363,-2.131518,-0.961285094,0.116834
Ba_O,O,Ba,-0.383724,0.260796,0.64452,1.707464,-1.062944,-0.622527913,0.118738,0.888158,0.76942,0.818393,-0.048973,-0.059840443,0.142058
Ba_S,S,Ba,-0.27966,0.183888,0.463548,1.658406,-1.194858,-0.720485816,0.055207,0.489495,0.434288,0.596077,-0.161789,-0.271422987,0.128681
Ba_Se,Se,Ba,-0.307417,0.162598,0.470015,1.629522,-1.159507,-0.711562655,0.046017,0.436297,0.39028,0.582284,-0.192004,-0.329742875,0.116581
Ba_Te,Te,Ba,-0.262286,0.147735,0.410021,1.61292,-1.202899,-0.745789624,0.037461,0.359629,0.322168,0.513281,-0.191113,-0.372336011,0.110274
Be_O,O,Be,-0.409029,0.515284,0.924313,4.628511,-3.704198,-0.80030014,0.29989,0.733896,0.434006,0.985479,-0.551473,-0.559598936,0.215394
Be_S,S,Be,-0.292372,0.407975,0.700347,4.579453,-3.879106,-0.847067543,0.210683,0.391774,0.181091,0.763163,-0.582072,-0.762709932,0.197292
Be_Se,Se,Be,-0.307235,0.340162,0.647397,4.550569,-3.903172,-0.857732736,0.192244,0.350573,0.158329,0.74937,-0.591041,-0.788717189,0.147918
Be_Te,Te,Be,-0.258777,0.319686,0.578463,4.533967,-3.955504,-0.872415701,0.184897,0.306577,0.12168,0.680367,-0.558687,-0.821155347,0.134789
Ca_O,O,Ca,-0.40315,0.261356,0.664506,2.334559,-1.670053,-0.715361231,0.115767,0.848368,0.732601,0.881422,-0.148821,-0.16884194,0.145589
Ca_S,S,Ca,-0.287568,0.201029,0.488597,2.285501,-1.796904,-0.786218864,0.065063,0.456613,0.39155,0.659106,-0.267556,-0.40593774,0.135966
Ca_Se,Se,Ca,-0.311537,0.174912,0.486449,2.256617,-1.770168,-0.784434399,0.058083,0.405383,0.3473,0.645313,-0.298013,-0.461811555,0.116829
Ca_Te,Te,Ca,-0.265664,0.162855,0.428519,2.240015,-1.811496,-0.808698156,0.051835,0.329781,0.277946,0.57631,-0.298364,-0.517714425,0.11102
Cd_O,O,Cd,0.10789,1.433471,1.325581,0.622369,0.703212,1.129895609,0.121446,0.087007,-0.034439,0.884964,-0.919403,-1.038915707,1.312025
Cd_S,S,Cd,-0.268587,0.168512,0.437099,0.573311,-0.136212,-0.237588325,0.167773,0.362284,0.194511,0.662648,-0.468137,-0.706464065,0.000739
Cd_Se,Se,Cd,-0.312832,0.110096,0.422928,0.544427,-0.121499,-0.223168579,0.135018,0.30966,0.174642,0.648855,-0.474213,-0.730845875,-0.024922
Cd_Te,Te,Cd,-0.249623,0.134118,0.383741,0.527825,-0.144084,-0.272976839,0.139651,0.273766,0.134115,0.579852,-0.445737,-0.768708222,-0.005533
Cs_Br,Br,Cs,-0.48803,0.094711,0.582741,0.745899,-0.163158,-0.218740071,-0.059318,0.322386,0.381704,0.111745,0.269959,2.415848584,0.154029
Cs_Cl,Cl,Cs,-0.481306,0.104898,0.586204,0.75871,-0.172506,-0.227367505,-0.057855,0.37172,0.429575,0.11908,0.310495,2.607448774,0.162753
Cs_F,F,Cs,-0.651289,0.171735,0.823024,0.592816,0.230208,0.3883296,-0.026177,1.051549,1.077726,0.200665,0.877061,4.370772182,0.197912
Cs_I,I,Cs,-0.40806,0.082667,0.490727,0.80391,-0.313183,-0.389574704,-0.052313,0.260935,0.313248,0.096035,0.217213,2.261810798,0.13498
Cu_Br,Br,Cu,-0.414938,0.158267,0.573205,0.000638,0.572567,897.4404389,0.006457,0.374422,0.367965,0.235234,0.132731,0.564250916,0.15181
Cu_Cl,Cl,Cu,-0.422799,0.174124,0.596923,0.013449,0.583474,43.38419213,0.002134,0.410633,0.408499,0.242569,0.16593,0.684052785,0.17199
Cu_F,F,Cu,0.038284,0.028547,-0.009737,0.152445,-0.162182,-1.063872216,-0.102535,0.553902,0.656437,0.324154,0.332283,1.025077587,0.131082
Ga_As,As,Ga,0.174951,0.634324,0.459373,2.194293,-1.73492,-0.790651021,0.18426,0.186668,0.002408,2.147011,-2.144603,-0.998878441,0.450064
Ga_N,N,Ga,-0.310354,0.32905,0.639404,2.349172,-1.709768,-0.727817291,0.311492,0.588339,0.276847,2.391743,-2.114896,-0.884248851,0.017558
Ga_P,P,Ga,-0.248438,0.258972,0.50741,2.251725,-1.744315,-0.774657207,0.213532,0.325148,0.111616,2.177834,-2.066218,-0.948749078,0.04544
Ga_Sb,Sb,Ga,0.153299,0.437162,0.283863,2.142989,-1.859126,-0.867538751,0.165702,0.173507,0.007805,2.054651,-2.046846,-0.996201301,0.27146
Hg_O,O,Hg,0.063563,0.915619,0.852056,0.622369,0.229687,0.369052765,0.136413,0.102593,-0.03382,0.816638,-0.850458,-1.041413699,0.779206
Hg_S,S,Hg,0.112511,0.553789,0.441278,0.573311,-0.132033,-0.230299087,0.159268,0.123079,-0.036189,0.594322,-0.630511,-1.060891234,0.394521
Hg_Se,Se,Hg,0.081263,0.515712,0.434449,0.544427,-0.109978,-0.202006881,0.146464,0.111678,-0.034786,0.580529,-0.615315,-1.05992121,0.369248
Hg_Te,Te,Hg,0.102744,0.442935,0.340191,0.527825,-0.187634,-0.355485246,0.153422,0.122786,-0.030636,0.511526,-0.542162,-1.059891384,0.289513
In_As,As,In,0.139489,0.653085,0.513596,2.168087,-1.654491,-0.763110982,0.177146,0.183401,0.006255,2.150066,-2.143811,-0.997090787,0.475939
In_N,N,In,0.213098,2.112476,1.899378,2.322966,-0.423588,-0.182347912,0.257176,0.263395,0.006219,2.394798,-2.388579,-0.997403121,1.8553
In_P,P,In,-0.214395,0.717973,0.932368,2.225519,-1.293151,-0.581055924,0.208032,0.214542,0.00651,2.180889,-2.174379,-0.997014979,0.509941
In_Sb,Sb,In,0.130521,0.497395,0.366874,2.116783,-1.749909,-0.826683226,0.161684,0.166642,0.004958,2.057706,-2.052748,-0.997590521,0.335711
K_Br,Br,K,-0.488906,0.08933,0.578236,1.111416,-0.53318,-0.479730362,-0.058607,0.322295,0.380902,0.128232,0.25267,1.970413001,0.147937
K_Cl,Cl,K,-0.487775,0.097351,0.585126,1.124227,-0.539101,-0.47953038,-0.06219,0.366177,0.428367,0.135567,0.2928,2.159817655,0.159541
K_F,F,K,-0.720101,0.136948,0.857049,0.958333,-0.101284,-0.105687689,-0.0483,0.654824,0.703124,0.217152,0.485972,2.237934719,0.185248
K_I,I,K,-0.406169,0.080931,0.4871,1.169427,-0.682327,-0.583471221,-0.047945,0.254037,0.301982,0.112522,0.18946,1.68375962,0.128876
Li_Br,Br,Li,-0.44899,0.163812,0.612802,1.789957,-1.177155,-0.65764429,0.010254,0.351431,0.341177,0.149685,0.191492,1.279299863,0.153558
Li_Cl,Cl,Li,-0.454858,0.184903,0.639761,1.802768,-1.163007,-0.645122944,0.004115,0.395338,0.391223,0.15702,0.234203,1.491548847,0.180788
Li_F,F,Li,-0.697933,0.216338,0.914271,1.636874,-0.722603,-0.441453038,0.009331,0.763584,0.754253,0.238605,0.515648,2.161094696,0.207007
Li_I,I,Li,-0.3672,0.160518,0.527718,1.847968,-1.32025,-0.714433367,0.022767,0.272302,0.249535,0.133975,0.11556,0.862548983,0.137751
Mg_O,O,Mg,-0.354313,0.301277,0.65559,3.609062,-2.953472,-0.818348923,0.233726,0.774616,0.54089,0.930938,-0.390048,-0.418983864,0.067551
Mg_S,S,Mg,-0.267273,0.23657,0.503843,3.560004,-3.056161,-0.858471226,0.142489,0.401887,0.259398,0.708622,-0.449224,-0.633940239,0.094081
Mg_Se,Se,Mg,-0.287659,0.194977,0.482636,3.53112,-3.048484,-0.863319287,0.129332,0.352402,0.22307,0.694829,-0.471759,-0.678956981,0.065645
Mg_Te,Te,Mg,-0.248747,0.176905,0.425652,3.514518,-3.088866,-0.878887517,0.11602,0.286103,0.170083,0.625826,-0.455743,-0.728226376,0.060885
Na_Br,Br,Na,-0.463285,0.102029,0.565314,1.9507,-1.385386,-0.710199416,-0.023848,0.335679,0.359527,0.13722,0.222307,1.620077248,0.125877
Na_Cl,Cl,Na,-0.464524,0.111559,0.576083,1.963511,-1.387428,-0.706605667,-0.028256,0.380529,0.408785,0.144555,0.26423,1.82788558,0.139815
Na_F,F,Na,-0.695309,0.131026,0.826335,1.797617,-0.971282,-0.54031643,-0.012142,0.691743,0.703885,0.22614,0.477745,2.112607234,0.143168
Na_I,I,Na,-0.380611,0.101804,0.482415,2.008711,-1.526296,-0.759838523,-0.010722,0.26601,0.276732,0.12151,0.155222,1.277442186,0.112526
Rb_Br,Br,Rb,-0.492685,0.085182,0.577867,0.959787,-0.38192,-0.397921622,-0.063197,0.321157,0.384354,0.124266,0.260088,2.092994061,0.148379
Rb_Cl,Cl,Rb,-0.490464,0.092756,0.58322,0.972598,-0.389378,-0.400348345,-0.065856,0.363882,0.429738,0.131601,0.298137,2.265461509,0.158612
Rb_F,F,Rb,-0.71667,0.135339,0.852009,0.806704,0.045305,0.056160624,-0.046186,0.624517,0.670703,0.213186,0.457517,2.146093083,0.181525
Rb_I,I,Rb,-0.411545,0.073674,0.485219,1.017798,-0.532579,-0.523265913,-0.05473,0.251812,0.306542,0.108556,0.197986,1.823814437,0.128404
Sr_O,O,Sr,-0.396702,0.239365,0.636067,2.038352,-1.402285,-0.687950364,0.113791,0.796845,0.683054,0.851762,-0.168708,-0.198069414,0.125574
Sr_S,S,Sr,-0.285421,0.182181,0.467602,1.989294,-1.521692,-0.764940728,0.057164,0.449476,0.392312,0.629446,-0.237134,-0.376734462,0.125017
Sr_Se,Se,Sr,-0.311106,0.158548,0.469654,1.96041,-1.490756,-0.760430726,0.049076,0.401083,0.352007,0.615653,-0.263646,-0.428237985,0.109472
Sr_Te,Te,Sr,-0.26558,0.1494,0.41498,1.943808,-1.528828,-0.786511837,0.041933,0.329741,0.287808,0.54665,-0.258842,-0.4735059,0.107467
Tl_As,As,Tl,0.087101,1.455164,1.368063,2.187394,-0.819331,-0.374569465,0.188428,0.191951,0.003523,2.098576,-2.095053,-0.998321243,1.266736
Tl_N,N,Tl,0.160402,2.222583,2.062181,2.342273,-0.280092,-0.119581279,0.27917,0.284964,0.005794,2.343308,-2.337514,-0.997527427,1.943413
Tl_P,P,Tl,0.148219,0.562158,0.413939,2.244826,-1.830887,-0.81560308,0.213916,0.219061,0.005145,2.129399,-2.124254,-0.997583825,0.348242
Tl_Sb,Sb,Tl,0.079748,0.388016,0.308268,2.13609,-1.827822,-0.855685856,0.170174,0.173186,0.003012,2.006216,-2.003204,-0.998498666,0.217842
Zn_O,O,Zn,0.160427,1.990984,1.830557,0.622377,1.20818,1.941234975,0.15805,0.12156,-0.03649,0.869806,-0.906296,-1.041951884,1.832934
Zn_S,S,Zn,-0.301135,0.220178,0.521313,0.573319,-0.052006,-0.090710407,0.174648,0.368869,0.194221,0.64749,-0.453269,-0.700040155,0.04553
Zn_Se,Se,Zn,-0.31497,0.172426,0.487396,0.544435,-0.057039,-0.104767328,0.157568,0.329178,0.17161,0.633697,-0.462087,-0.729192343,0.014858
Zn_Te,Te,Zn,-0.269644,0.168281,0.437925,0.527833,-0.089908,-0.170334178,0.148681,0.280227,0.131546,0.564694,-0.433148,-0.767049057,0.0196
