label,pp,atom1,atom2,s2_x_x,p1_x_x,p2_x_x,s1_y_x,s2_y_x,p1_y_x,p2_y_x,d1_y_x,d2_y_x,s2_x_y,p1_x_y,p2_x_y,p3_x,p4_x,p5_x,p6_x,s1_y_y,s2_y_y,p1_y_y,p2_y_y,p3_y,p4_y,p5_y,p6_y,d1_y_y,d2_y_y,d3_y,d4_y,d5_y,nbr
Be_S,0.181091,Be,S,4.006145,4.14394,4.14394,4.579453,5.602148,4.907103,5.383853,5.58715,5.58715,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.2703930000000003,4.431375,3.61803,3.6605790000000002,3.6605790000000002,4.1823310000000005,4.208096,4.208096,4.2682720000000005,4.269847,4.269847,4.306942,4.306942,4
Mg_S,0.259398,Mg,S,2.9867019999999997,1.2235269999999998,3.179032,3.5600039999999997,4.582699,3.887654,4.3644039999999995,4.567701,4.567701,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.301136,3.462118,2.648773,2.691322,2.691322,3.2130739999999998,3.238839,3.238839,3.299015,3.3005899999999997,3.3005899999999997,3.337685,3.337685,4
Ca_S,0.39155,Ca,S,1.808248,0.7297150000000001,1.954045,2.285501,3.308196,2.6131510000000002,3.0899010000000002,3.2931980000000003,3.2931980000000003,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.1252309999999999,2.286213,1.4728679999999998,1.5154169999999998,1.5154169999999998,2.037169,2.062934,2.062934,2.12311,2.124685,2.124685,2.16178,2.16178,4
Sr_S,0.392312,Sr,S,1.549414,0.678491,1.687498,1.9892940000000001,3.011989,2.316944,2.793694,2.996991,2.996991,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.857999,2.018981,1.205636,1.2481849999999999,1.2481849999999999,1.769937,1.795702,1.795702,1.8558780000000001,1.857453,1.857453,1.894548,1.894548,4
Ba_S,0.434288,Ba,S,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.6584059999999998,2.681101,1.986056,2.4628059999999996,2.6661029999999997,2.6661029999999997,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.604308,1.7652899999999998,0.951945,0.994494,0.994494,1.516246,1.542011,1.542011,1.602187,1.6037620000000001,1.6037620000000001,1.640857,1.640857,4
Li_Cl,0.391223,Li,Cl,1.97743,2.067062,2.067062,1.802768,3.5544320000000003,2.224082,2.7863439999999997,2.952139,2.952143,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.1445429999999999,2.9805659999999996,1.5670089999999999,1.596388,1.6036154999999999,2.204385,2.2199619999999998,2.2243684999999997,2.2851795,2.291664,2.294112,2.3163115,2.325693,4
Na_Cl,0.408785,Na,Cl,2.124184,1.046237,2.24027,1.963511,3.7151750000000003,2.384825,2.947087,3.112882,3.112886,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.330183,3.166206,1.752649,1.782028,1.7892554999999999,2.390025,2.405602,2.4100085,2.4708195,2.477304,2.479752,2.5019514999999997,2.5113329999999996,4
K_Cl,0.428367,K,Cl,1.319421,0.6207099999999999,1.409974,1.1242269999999999,2.875891,1.545541,2.1078029999999996,2.273598,2.273602,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.552213,2.388236,0.974679,1.0040580000000001,1.0112855,1.612055,1.627632,1.6320385,1.6928495,1.699334,1.7017820000000001,1.7239814999999998,1.7333629999999998,4
Rb_Cl,0.429738,Rb,Cl,1.170768,0.591516,1.262311,0.9725980000000001,2.724262,1.393912,1.9561739999999999,2.121969,2.121973,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.41967199999999993,2.255695,0.8421379999999999,0.871517,0.8787445,1.479514,1.495091,1.4994975,1.5603085,1.566793,1.5692409999999999,1.5914405,1.600822,4
Cs_Cl,0.429575,Cs,Cl,0.981429,0.487158,1.0609439999999999,0.75871,2.510374,1.180024,1.742286,1.9080810000000001,1.9080849999999998,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.2256775,2.0617004999999997,0.6481435,0.6775225,0.68475,1.2855195,1.3010964999999999,1.3055029999999999,1.366314,1.3727985,1.3752465,1.397446,1.4068275,4
